"","V1","sgBaseDiffb","sg102Diffb","sg113Diffb","sg130Diffb","sg103Diffb","sg91Diffb"
"1",1200,-9.93854630218537e-06,5.04670155020003e-06,1.73374411136673e-05,3.61566172755116e-05,-1.69234029373975e-05,2.57877320814341e-06
"2",1199,-7.43801652892615e-06,3.1916801147576e-06,9.18789834873731e-06,2.65726115376498e-05,-1.5660097478282e-05,2.41658108790955e-06
"3",1198,-3.55301264392151e-06,3.08409539178774e-06,3.73775408740427e-06,1.78949255872327e-05,-1.17251047320973e-05,1.8082927173836e-06
"4",1197,9.07678180405972e-07,3.98552496454566e-06,4.57914269102786e-07,1.02087306632737e-05,-6.23420868175934e-06,1.04446835216074e-06
"5",1196,5.13526877163297e-06,5.15754641628734e-06,-1.18071516672947e-06,3.59919800478975e-06,-3.03193310184384e-07,4.15668247836174e-07
"6",1195,8.32097195733593e-06,5.86173733026859e-06,-1.70722828065505e-06,-1.84850114920208e-06,4.95215739971102e-06,2.12452660005174e-07
"7",1194,8.57145962041063e-06,3.68613515466658e-06,-1.28884324688518e-06,-5.77425682320759e-06,6.90063627126532e-06,3.48835313870283e-06
"8",1193,4.17896012301605e-06,-1.67027999195818e-06,-1.63740688216206e-06,-8.04358811351804e-06,3.71927994305617e-06,7.86373688471588e-06
"9",1192,-3.07757510554715e-06,-7.92540792540788e-06,-5.20862199183874e-06,-1.06932694345282e-05,7.88411277921747e-07,6.47573095125545e-06
"10",1191,-1.0492227275444e-05,-1.13648589173065e-05,-6.83271662292645e-06,-1.27933449611771e-05,-4.80273417336355e-06,9.66632435163906e-07
"11",1190,-1.29465716878304e-05,-1.4174015572617e-05,-1.09002885226661e-05,-1.17609663064209e-05,-1.2615123803935e-05,-4.25883362946301e-06
"12",1189,-1.01265478887856e-05,-1.34540673002212e-05,-1.56421666911177e-05,-9.40333947326954e-06,-1.15278660733206e-05,-9.66360756570548e-06
"13",1188,-6.54039045647438e-06,-9.71576985562999e-06,-1.38523481180824e-05,-4.2468797713553e-06,-8.28945724050622e-06,-7.48963546166345e-06
"14",1187,-2.18809939089663e-06,-4.42401421422405e-06,-3.23134518938715e-06,5.69492667394766e-06,8.21012709124624e-07,-5.7155742470428e-06
"15",1186,5.6775392439728e-06,8.33509924419014e-06,5.76501975103372e-06,1.11752272591433e-05,6.17851457012296e-06,-1.63496177482191e-06
"16",1185,1.45407816736488e-05,1.82687553316924e-05,1.15713346482577e-05,1.52759439472726e-05,1.43598437304731e-05,3.01345895751487e-06
"17",1184,1.47608413342679e-05,1.95836797235399e-05,1.81388929640678e-05,1.66104291978418e-05,1.5848642422069e-05,1.53090887356622e-05
"18",1183,7.42225917051094e-06,1.63267967463772e-05,1.7903075945034e-05,1.57307339125521e-05,1.10230872468635e-05,1.88544943789699e-05
"19",1182,-4.7418781684516e-06,6.16004042577468e-06,7.91236735292679e-06,6.34043501176367e-06,5.57864823599091e-06,1.36996647486158e-05
"20",1181,-1.26319678767231e-05,-5.04235469270409e-07,1.53063719497287e-06,-2.13702381534548e-06,-3.75731494612615e-06,3.62745257850154e-06
"21",1180,-1.24113648589173e-05,-9.91898544346099e-06,-8.41660282219723e-06,-4.56039686808918e-06,-7.79663227215672e-06,-3.27916062181798e-06
"22",1179,-7.42769274237806e-06,-1.27851946033764e-05,-1.28476806798485e-05,-4.70710330850188e-06,-9.31205546590161e-06,-5.48464744268939e-06
"23",1178,-5.35206828913123e-06,-1.23912606430089e-05,-1.07687960834814e-05,-2.68581457392646e-06,-8.16611515912218e-06,-5.98127591134585e-06
"24",1177,-1.26819567379009e-06,-8.46550496900149e-06,-1.13670323460534e-06,1.50346933563718e-06,-8.66111355621826e-07,-8.4111692503301e-06
